               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10009,            0.038496,            0.043534,             0.34877,                   0,                   0,                   0,                   0,             0.09403,            0.035063,            0.042734,             0.33651,             0.00331,             0.00331,             0.07021
                   1,            0.093299,            0.041431,            0.041846,             0.32815,                   0,                   0,                   0,                   0,            0.089806,            0.036009,            0.040895,             0.32101,           0.0066287,           0.0066287,            0.040329
                   2,            0.091985,            0.038706,              0.0398,             0.30635,             0.50436,            0.047906,           0.0012025,          0.00033204,            0.093166,            0.032482,            0.038438,             0.28845,           0.0099421,           0.0099421,            0.010442
                   3,            0.096529,            0.035584,            0.037617,             0.26095,            0.014633,             0.22441,           0.0059903,           0.0010363,            0.094846,            0.029996,            0.036437,              0.2418,           0.0099822,           0.0099822,           0.0099822
                   4,             0.09605,            0.033805,            0.036905,             0.21899,             0.52973,            0.053253,            0.013966,           0.0031629,            0.092527,            0.030457,            0.036164,             0.20403,           0.0099822,           0.0099822,           0.0099822
                   5,            0.090797,            0.034457,            0.036408,             0.20609,             0.54825,            0.057709,            0.023133,           0.0043833,             0.08647,            0.031372,            0.033406,             0.20178,           0.0099685,           0.0099685,           0.0099685
                   6,            0.088982,            0.035059,            0.035402,             0.20305,             0.25873,             0.13734,           0.0086023,           0.0021053,            0.089409,            0.033974,            0.034028,             0.20105,           0.0099508,           0.0099508,           0.0099508
                   7,            0.087603,            0.034791,            0.033381,             0.19914,            0.016923,              0.1426,            0.012529,           0.0022778,            0.085171,            0.032703,            0.032767,              0.1957,           0.0099291,           0.0099291,           0.0099291
                   8,            0.085951,            0.036137,            0.032534,             0.19785,            0.014808,             0.16836,           0.0090057,           0.0016304,            0.083225,            0.029593,            0.029741,             0.19517,           0.0099037,           0.0099037,           0.0099037
                   9,            0.084472,             0.03549,            0.031187,             0.19656,             0.77554,            0.044118,            0.015275,           0.0026187,            0.080315,            0.029919,            0.027356,             0.19575,           0.0098743,           0.0098743,           0.0098743
                  10,            0.083342,            0.035083,            0.030428,              0.1945,            0.034876,             0.15575,            0.024386,           0.0043404,            0.078397,            0.030426,            0.025942,             0.19547,           0.0098412,           0.0098412,           0.0098412
                  11,            0.082965,            0.032987,            0.029083,             0.19358,             0.63778,            0.093137,            0.056536,           0.0091444,            0.081515,            0.026863,              0.0257,             0.19408,           0.0098042,           0.0098042,           0.0098042
                  12,            0.083357,            0.033426,            0.028252,             0.19358,             0.56958,             0.12745,            0.059022,            0.011632,            0.079132,            0.028508,            0.024461,             0.19324,           0.0097635,           0.0097635,           0.0097635
                  13,            0.080705,            0.033181,            0.028687,             0.19385,             0.67849,              0.1413,             0.13042,            0.032138,            0.077351,            0.029081,            0.024189,             0.19192,           0.0097191,           0.0097191,           0.0097191
                  14,            0.081859,            0.034002,            0.027946,             0.19326,             0.58293,             0.10294,            0.081867,            0.020467,            0.075888,             0.02847,            0.023892,             0.19256,            0.009671,            0.009671,            0.009671
                  15,            0.079667,            0.034825,            0.027295,             0.19205,             0.33906,             0.10294,            0.059978,            0.011673,            0.075233,            0.028681,            0.023856,             0.19149,           0.0096193,           0.0096193,           0.0096193
                  16,            0.078921,             0.03266,            0.026815,             0.19149,             0.36978,             0.13101,             0.09127,            0.021711,            0.073453,            0.028301,            0.023387,             0.19148,            0.009564,            0.009564,            0.009564
                  17,            0.079304,            0.033054,            0.026524,             0.19189,             0.32373,             0.14216,            0.070826,            0.015678,            0.076717,            0.028734,             0.02367,             0.19016,           0.0095052,           0.0095052,           0.0095052
                  18,            0.077497,            0.033969,            0.026466,              0.1906,            0.073989,             0.19496,            0.053928,            0.010588,            0.074913,             0.02895,            0.023143,             0.18948,            0.009443,            0.009443,            0.009443
                  19,            0.077981,            0.033052,            0.025817,             0.18931,             0.36916,             0.14217,            0.058093,            0.011133,            0.073811,            0.028268,            0.022777,             0.18757,           0.0093773,           0.0093773,           0.0093773
                  20,            0.077175,            0.032458,            0.024896,             0.18918,             0.41916,             0.15731,             0.11698,            0.025962,            0.074738,            0.029265,            0.023351,             0.18699,           0.0093083,           0.0093083,           0.0093083
                  21,            0.077251,            0.033149,            0.025288,             0.18854,             0.10052,             0.24532,              0.0908,            0.024117,            0.073961,            0.028487,            0.022453,             0.18713,           0.0092361,           0.0092361,           0.0092361
                  22,            0.076515,            0.032365,            0.023565,             0.18671,             0.34884,             0.21234,            0.075731,            0.016206,            0.073603,            0.028277,            0.022062,             0.18539,           0.0091606,           0.0091606,           0.0091606
                  23,            0.077472,            0.033344,            0.024895,             0.18634,             0.39083,             0.21232,             0.11747,            0.028711,            0.072103,            0.028997,            0.021772,             0.18396,           0.0090821,           0.0090821,           0.0090821
                  24,            0.076877,            0.033195,            0.024277,             0.18539,             0.44174,             0.18137,              0.1857,            0.047369,            0.071351,            0.026842,             0.02144,             0.18266,           0.0090004,           0.0090004,           0.0090004
                  25,            0.076772,            0.033186,            0.024702,             0.18503,             0.45572,             0.25151,             0.15663,            0.041663,            0.069761,            0.028415,            0.022034,             0.18175,           0.0089159,           0.0089159,           0.0089159
                  26,            0.075792,            0.032329,            0.023437,             0.18383,             0.25611,             0.33672,             0.13965,            0.034165,            0.072994,            0.027721,            0.021565,             0.18117,           0.0088284,           0.0088284,           0.0088284
                  27,            0.076214,            0.032981,            0.023574,              0.1837,             0.41478,             0.21012,             0.14925,            0.034576,            0.070272,            0.027615,            0.021512,              0.1802,           0.0087382,           0.0087382,           0.0087382
                  28,            0.075278,            0.031381,            0.024046,              0.1824,             0.37409,             0.22794,             0.14242,            0.037752,            0.072318,            0.027005,            0.022174,             0.17857,           0.0086452,           0.0086452,           0.0086452
                  29,            0.075132,            0.031625,            0.023327,             0.18132,             0.39264,               0.205,             0.12608,            0.031174,            0.075246,            0.026031,            0.021489,             0.17788,           0.0085497,           0.0085497,           0.0085497
                  30,            0.076102,             0.03133,            0.022882,             0.18074,             0.49226,             0.24777,             0.20649,            0.046685,            0.074598,            0.027454,            0.022382,             0.17685,           0.0084516,           0.0084516,           0.0084516
                  31,            0.075745,            0.032602,            0.023115,             0.18005,             0.20357,             0.37767,             0.20689,            0.058853,            0.070922,            0.026891,            0.021735,             0.17538,           0.0083511,           0.0083511,           0.0083511
                  32,            0.074712,            0.032447,            0.022384,             0.17911,             0.51193,             0.29501,             0.21803,            0.053727,            0.068526,            0.026919,            0.020785,             0.17502,           0.0082483,           0.0082483,           0.0082483
                  33,            0.074391,            0.031769,            0.022036,             0.17718,             0.49785,             0.29314,             0.22768,            0.059804,            0.067518,            0.027408,            0.020184,             0.17484,           0.0081433,           0.0081433,           0.0081433
                  34,            0.075001,             0.03121,            0.021447,              0.1773,             0.49976,             0.28855,             0.21608,            0.054051,            0.068075,            0.026888,            0.020137,             0.17436,           0.0080362,           0.0080362,           0.0080362
                  35,            0.073915,            0.031635,            0.022109,             0.17748,             0.19684,             0.26827,             0.16785,            0.040856,             0.06717,            0.027298,            0.020301,              0.1744,            0.007927,            0.007927,            0.007927
                  36,            0.073794,            0.030715,            0.021145,             0.17615,             0.54123,             0.30971,             0.25382,            0.074228,             0.07006,            0.027753,            0.020341,             0.17309,            0.007816,            0.007816,            0.007816
                  37,            0.073062,            0.031161,            0.021572,              0.1753,             0.46672,             0.24052,             0.18307,            0.054205,            0.067277,            0.026862,            0.020494,             0.17218,           0.0077031,           0.0077031,           0.0077031
                  38,            0.073121,            0.032401,             0.02198,              0.1758,             0.20186,             0.31551,             0.19649,            0.050327,            0.069584,            0.026145,             0.01996,             0.17068,           0.0075886,           0.0075886,           0.0075886
                  39,            0.073244,             0.02975,            0.020449,             0.17286,              0.1668,             0.24933,             0.13639,            0.037158,            0.071046,             0.02655,            0.020507,             0.16992,           0.0074725,           0.0074725,           0.0074725
                  40,            0.074135,            0.030322,            0.020866,             0.17283,             0.19638,             0.31446,              0.1957,            0.048465,            0.069088,            0.025937,            0.020815,             0.16941,            0.007355,            0.007355,            0.007355
                  41,            0.072459,            0.030175,            0.020647,             0.17337,              0.3513,             0.26894,             0.25042,            0.061761,            0.064965,            0.026296,            0.020462,             0.16774,           0.0072361,           0.0072361,           0.0072361
                  42,             0.07187,            0.031643,            0.021048,             0.17266,               0.232,              0.2754,               0.232,            0.070777,            0.067652,            0.025855,            0.019454,             0.16688,            0.007116,            0.007116,            0.007116
                  43,            0.072027,            0.031873,            0.020628,             0.17182,             0.23489,             0.32375,             0.22553,            0.063491,            0.063803,            0.025702,            0.019347,             0.16692,           0.0069948,           0.0069948,           0.0069948
                  44,            0.071763,            0.029959,            0.020932,             0.17109,             0.46705,             0.29317,              0.1774,            0.049885,            0.068057,             0.02549,            0.020353,             0.16715,           0.0068726,           0.0068726,           0.0068726
                  45,            0.070527,            0.031133,            0.020237,             0.17113,             0.30269,             0.29208,             0.21253,            0.069128,            0.065428,            0.025503,            0.019601,             0.16612,           0.0067495,           0.0067495,           0.0067495
                  46,            0.071948,            0.030085,            0.019296,             0.16877,             0.19601,             0.32188,             0.13175,            0.028408,            0.070183,            0.025298,            0.019051,             0.16579,           0.0066257,           0.0066257,           0.0066257
                  47,            0.071143,            0.031227,            0.019209,             0.16856,             0.44479,             0.35365,             0.31857,             0.12223,            0.062282,             0.02588,            0.018749,             0.16414,           0.0065013,           0.0065013,           0.0065013
                  48,            0.069848,            0.030545,            0.019697,             0.16945,             0.36375,             0.37719,              0.2812,            0.087783,            0.061898,            0.026673,            0.019092,             0.16422,           0.0063764,           0.0063764,           0.0063764
